,index,counts
403,403.0,887.0
404,404.0,957.0
405,405.0,908.0
406,406.0,902.0
407,407.0,879.0
408,408.0,940.0
409,409.0,930.0
410,410.0,959.0
411,411.0,936.0
412,412.0,939.0
413,413.0,897.0
414,414.0,979.0
415,415.0,933.0
416,416.0,982.0
417,417.0,959.0
418,418.0,916.0
419,419.0,965.0
420,420.0,943.0
421,421.0,927.0
422,422.0,918.0
423,423.0,969.0
424,424.0,931.0
425,425.0,963.0
426,426.0,915.0
427,427.0,923.0
428,428.0,909.0
429,429.0,921.0
430,430.0,942.0
431,431.0,935.0
432,432.0,953.0
433,433.0,976.0
434,434.0,934.0
435,435.0,868.0
436,436.0,981.0
437,437.0,933.0
438,438.0,875.0
439,439.0,936.0
440,440.0,944.0
441,441.0,906.0
442,442.0,962.0
443,443.0,943.0
444,444.0,952.0
445,445.0,962.0
446,446.0,950.0
447,447.0,921.0
448,448.0,902.0
449,449.0,893.0
450,450.0,916.0
451,451.0,930.0
452,452.0,944.0
453,453.0,927.0
454,454.0,878.0
455,455.0,960.0
456,456.0,969.0
457,457.0,920.0
458,458.0,911.0
459,459.0,955.0
460,460.0,893.0
461,461.0,910.0
462,462.0,932.0
463,463.0,955.0
464,464.0,921.0
465,465.0,917.0
466,466.0,876.0
467,467.0,904.0
468,468.0,928.0
469,469.0,915.0
470,470.0,893.0
471,471.0,981.0
472,472.0,897.0
473,473.0,907.0
474,474.0,882.0
475,475.0,860.0
476,476.0,969.0
477,477.0,914.0
478,478.0,910.0
479,479.0,908.0
480,480.0,942.0
481,481.0,858.0
482,482.0,916.0
483,483.0,924.0
484,484.0,932.0
485,485.0,908.0
486,486.0,939.0
487,487.0,941.0
488,488.0,902.0
489,489.0,929.0
490,490.0,968.0
491,491.0,941.0
492,492.0,988.0
493,493.0,896.0
494,494.0,879.0
495,495.0,987.0
496,496.0,942.0
497,497.0,973.0
498,498.0,968.0
499,499.0,860.0
500,500.0,950.0
501,501.0,898.0
502,502.0,918.0
503,503.0,897.0
504,504.0,927.0
505,505.0,953.0
506,506.0,895.0
507,507.0,929.0
508,508.0,921.0
509,509.0,915.0
510,510.0,944.0
511,511.0,957.0
