,index,count
496,496.0,853.0
497,497.0,822.0
498,498.0,784.0
499,499.0,833.0
500,500.0,806.0
501,501.0,803.0
502,502.0,818.0
503,503.0,837.0
504,504.0,830.0
505,505.0,794.0
506,506.0,841.0
507,507.0,811.0
508,508.0,813.0
509,509.0,833.0
510,510.0,835.0
511,511.0,791.0
